Year.Month.Day,year-month-day,PC05,year,month,day
2006-01-01,2006-1-1,30.515,2006,1,1
2006-01-10,2006-1-10,11.85,2006,1,10
2006-01-11,2006-1-11,5.045,2006,1,11
2006-01-12,2006-1-12,78.32,2006,1,12
2006-01-13,2006-1-13,93.065,2006,1,13
2006-01-14,2006-1-14,75.675,2006,1,14
2006-01-15,2006-1-15,68.145,2006,1,15
2006-01-16,2006-1-16,39.18,2006,1,16
2006-01-17,2006-1-17,53.035,2006,1,17
2006-01-18,2006-1-18,66.525,2006,1,18
2006-01-19,2006-1-19,44.145,2006,1,19
2006-01-02,2006-1-2,57.12,2006,1,2
2006-01-20,2006-1-20,73.865,2006,1,20
2006-01-21,2006-1-21,111.4,2006,1,21
2006-01-22,2006-1-22,68.44,2006,1,22
2006-01-23,2006-1-23,20.805,2006,1,23
2006-01-24,2006-1-24,34.115,2006,1,24
2006-01-25,2006-1-25,74.1,2006,1,25
2006-01-26,2006-1-26,187.2,2006,1,26
2006-01-27,2006-1-27,123.105,2006,1,27
2006-01-28,2006-1-28,84.335,2006,1,28
2006-01-29,2006-1-29,74.115,2006,1,29
2006-01-03,2006-1-3,63.445,2006,1,3
2006-01-30,2006-1-30,170.075,2006,1,30
2006-01-31,2006-1-31,44.66,2006,1,31
2006-01-04,2006-1-4,32.815,2006,1,4
2006-01-05,2006-1-5,9.82,2006,1,5
2006-01-06,2006-1-6,33.1,2006,1,6
2006-01-07,2006-1-7,39.82,2006,1,7
2006-01-08,2006-1-8,28.555,2006,1,8
2006-01-09,2006-1-9,22.625,2006,1,9
2006-10-01,2006-10-1,1.435,2006,10,1
2006-10-10,2006-10-10,4.545,2006,10,10
2006-10-11,2006-10-11,25.64,2006,10,11
2006-10-12,2006-10-12,17.5,2006,10,12
2006-10-13,2006-10-13,9.1,2006,10,13
2006-10-14,2006-10-14,36.3,2006,10,14
2006-10-15,2006-10-15,23.67,2006,10,15
2006-10-16,2006-10-16,37.47,2006,10,16
2006-10-17,2006-10-17,81.135,2006,10,17
2006-10-18,2006-10-18,54.37,2006,10,18
2006-10-19,2006-10-19,26.77,2006,10,19
2006-10-02,2006-10-2,0.635,2006,10,2
2006-10-20,2006-10-20,17.445,2006,10,20
2006-10-21,2006-10-21,29.695,2006,10,21
2006-10-22,2006-10-22,43.405,2006,10,22
2006-10-23,2006-10-23,39.97,2006,10,23
2006-10-24,2006-10-24,22.265,2006,10,24
2006-10-25,2006-10-25,13.815,2006,10,25
2006-10-26,2006-10-26,25.77,2006,10,26
2006-10-27,2006-10-27,26.54,2006,10,27
2006-10-28,2006-10-28,31.89,2006,10,28
2006-10-29,2006-10-29,78.745,2006,10,29
2006-10-03,2006-10-3,2.3,2006,10,3
2006-10-30,2006-10-30,16.605,2006,10,30
2006-10-31,2006-10-31,4.935,2006,10,31
2006-10-04,2006-10-4,12.135,2006,10,4
2006-10-05,2006-10-5,11.535,2006,10,5
2006-10-06,2006-10-6,13.31,2006,10,6
2006-10-07,2006-10-7,2.035,2006,10,7
2006-10-08,2006-10-8,2.67,2006,10,8
2006-10-09,2006-10-9,5.04,2006,10,9
2006-11-01,2006-11-1,23.905,2006,11,1
2006-11-10,2006-11-10,96.935,2006,11,10
2006-11-11,2006-11-11,74.935,2006,11,11
2006-11-12,2006-11-12,60.745,2006,11,12
2006-11-13,2006-11-13,46.735,2006,11,13
2006-11-14,2006-11-14,65.17,2006,11,14
2006-11-15,2006-11-15,76.4,2006,11,15
2006-11-16,2006-11-16,61.97,2006,11,16
2006-11-17,2006-11-17,163.605,2006,11,17
2006-11-18,2006-11-18,231.51,2006,11,18
2006-11-19,2006-11-19,126.47,2006,11,19
2006-11-02,2006-11-2,15.535,2006,11,2
2006-11-20,2006-11-20,110.54,2006,11,20
2006-11-21,2006-11-21,36.125,2006,11,21
2006-11-22,2006-11-22,22.915,2006,11,22
2006-11-23,2006-11-23,21.705,2006,11,23
2006-11-24,2006-11-24,27.81,2006,11,24
2006-11-25,2006-11-25,4.635,2006,11,25
2006-11-26,2006-11-26,3.58,2006,11,26
2006-11-27,2006-11-27,5.135,2006,11,27
2006-11-28,2006-11-28,5.31,2006,11,28
2006-11-29,2006-11-29,6.86,2006,11,29
2006-11-03,2006-11-3,16.535,2006,11,3
2006-11-30,2006-11-30,42.5,2006,11,30
2006-11-04,2006-11-4,15.8,2006,11,4
2006-11-05,2006-11-5,15.5,2006,11,5
2006-11-06,2006-11-6,18.57,2006,11,6
2006-11-07,2006-11-7,29.735,2006,11,7
2006-11-08,2006-11-8,137.07,2006,11,8
2006-11-09,2006-11-9,107.01,2006,11,9
2006-12-01,2006-12-1,46.135,2006,12,1
2006-12-10,2006-12-10,67.7,2006,12,10
2006-12-11,2006-12-11,85.505,2006,12,11
2006-12-12,2006-12-12,728.74,2006,12,12
2006-12-13,2006-12-13,510.685,2006,12,13
2006-12-14,2006-12-14,137.92,2006,12,14
2006-12-15,2006-12-15,87.975,2006,12,15
2006-12-16,2006-12-16,140.765,2006,12,16
2006-12-17,2006-12-17,171.27,2006,12,17
2006-12-18,2006-12-18,102.77,2006,12,18
2006-12-19,2006-12-19,77.635,2006,12,19
2006-12-02,2006-12-2,141.45,2006,12,2
2006-12-20,2006-12-20,47.07,2006,12,20
2006-12-21,2006-12-21,79.045,2006,12,21
2006-12-22,2006-12-22,52.88,2006,12,22
2006-12-23,2006-12-23,27.635,2006,12,23
2006-12-24,2006-12-24,25.975,2006,12,24
2006-12-25,2006-12-25,30.805,2006,12,25
2006-12-26,2006-12-26,27.535,2006,12,26
2006-12-27,2006-12-27,31.7,2006,12,27
2006-12-28,2006-12-28,98.075,2006,12,28
2006-12-29,2006-12-29,718.95,2006,12,29
2006-12-03,2006-12-3,231.405,2006,12,3
2006-12-30,2006-12-30,764.335,2006,12,30
2006-12-04,2006-12-4,50.21,2006,12,4
2006-12-05,2006-12-5,35.905,2006,12,5
2006-12-06,2006-12-6,90.24,2006,12,6
2006-12-07,2006-12-7,86.74,2006,12,7
2006-12-08,2006-12-8,40.2,2006,12,8
2006-12-09,2006-12-9,21.55,2006,12,9
2006-02-01,2006-2-1,41.17,2006,2,1
2006-02-10,2006-2-10,125.735,2006,2,10
2006-02-11,2006-2-11,100.505,2006,2,11
2006-02-12,2006-2-12,13.645,2006,2,12
2006-02-13,2006-2-13,8.1,2006,2,13
2006-02-14,2006-2-14,23.58,2006,2,14
2006-02-15,2006-2-15,39.635,2006,2,15
2006-02-16,2006-2-16,58.525,2006,2,16
2006-02-17,2006-2-17,230.805,2006,2,17
2006-02-18,2006-2-18,428.795,2006,2,18
2006-02-19,2006-2-19,34.405,2006,2,19
2006-02-02,2006-2-2,54.24,2006,2,2
2006-02-20,2006-2-20,49.715,2006,2,20
2006-02-21,2006-2-21,42.435,2006,2,21
2006-02-22,2006-2-22,30.67,2006,2,22
2006-02-23,2006-2-23,30.705,2006,2,23
2006-02-24,2006-2-24,77.02,2006,2,24
2006-02-25,2006-2-25,35.38,2006,2,25
2006-02-26,2006-2-26,18.835,2006,2,26
2006-02-27,2006-2-27,13.41,2006,2,27
2006-02-28,2006-2-28,17.935,2006,2,28
2006-02-03,2006-2-3,43.535,2006,2,3
2006-02-04,2006-2-4,136.51,2006,2,4
2006-02-05,2006-2-5,125.735,2006,2,5
2006-02-06,2006-2-6,111.175,2006,2,6
2006-02-07,2006-2-7,58.345,2006,2,7
2006-02-08,2006-2-8,10.41,2006,2,8
2006-02-09,2006-2-9,39.435,2006,2,9
2006-03-01,2006-3-1,24.9,2006,3,1
2006-03-10,2006-3-10,701.375,2006,3,10
2006-03-11,2006-3-11,303.22,2006,3,11
2006-03-12,2006-3-12,146.085,2006,3,12
2006-03-13,2006-3-13,36.595,2006,3,13
2006-03-14,2006-3-14,26.18,2006,3,14
2006-03-15,2006-3-15,49.04,2006,3,15
2006-03-16,2006-3-16,60.505,2006,3,16
2006-03-17,2006-3-17,67.275,2006,3,17
2006-03-18,2006-3-18,84.6,2006,3,18
2006-03-19,2006-3-19,151.67,2006,3,19
2006-03-02,2006-3-2,82.135,2006,3,2
2006-03-20,2006-3-20,141.535,2006,3,20
2006-03-21,2006-3-21,179.05,2006,3,21
2006-03-22,2006-3-22,196.85,2006,3,22
2006-03-23,2006-3-23,113.435,2006,3,23
2006-03-24,2006-3-24,45.84,2006,3,24
2006-03-25,2006-3-25,28.11,2006,3,25
2006-03-26,2006-3-26,107,2006,3,26
2006-03-27,2006-3-27,92.325,2006,3,27
2006-03-28,2006-3-28,100.58,2006,3,28
2006-03-29,2006-3-29,77.455,2006,3,29
2006-03-03,2006-3-3,120.145,2006,3,3
2006-03-30,2006-3-30,222.38,2006,3,30
2006-03-31,2006-3-31,189.85,2006,3,31
2006-03-04,2006-3-4,86.495,2006,3,4
2006-03-05,2006-3-5,94.87,2006,3,5
2006-03-06,2006-3-6,81.44,2006,3,6
2006-03-07,2006-3-7,54.54,2006,3,7
2006-03-08,2006-3-8,975.89,2006,3,8
2006-03-09,2006-3-9,899.55,2006,3,9
2006-04-01,2006-4-1,129.87,2006,4,1
2006-04-10,2006-4-10,54.31,2006,4,10
2006-04-11,2006-4-11,195.875,2006,4,11
2006-04-12,2006-4-12,209.25,2006,4,12
2006-04-13,2006-4-13,223.51,2006,4,13
2006-04-14,2006-4-14,171.745,2006,4,14
2006-04-15,2006-4-15,86.14,2006,4,15
2006-04-16,2006-4-16,71.64,2006,4,16
2006-04-17,2006-4-17,237.82,2006,4,17
2006-04-18,2006-4-18,432.015,2006,4,18
2006-04-19,2006-4-19,365.315,2006,4,19
2006-04-02,2006-4-2,308.015,2006,4,2
2006-04-20,2006-4-20,154.965,2006,4,20
2006-04-21,2006-4-21,34.07,2006,4,21
2006-04-22,2006-4-22,40.135,2006,4,22
2006-04-23,2006-4-23,28.35,2006,4,23
2006-04-24,2006-4-24,76.99,2006,4,24
2006-04-25,2006-4-25,71.035,2006,4,25
2006-04-26,2006-4-26,28.935,2006,4,26
2006-04-27,2006-4-27,32.71,2006,4,27
2006-04-28,2006-4-28,18.94,2006,4,28
2006-04-29,2006-4-29,25.61,2006,4,29
2006-04-03,2006-4-3,402.04,2006,4,3
2006-04-30,2006-4-30,60.28,2006,4,30
2006-04-04,2006-4-4,155.81,2006,4,4
2006-04-05,2006-4-5,72.215,2006,4,5
2006-04-06,2006-4-6,17.26,2006,4,6
2006-04-07,2006-4-7,65.915,2006,4,7
2006-04-08,2006-4-8,238.905,2006,4,8
2006-04-09,2006-4-9,38.53,2006,4,9
2006-05-01,2006-5-1,19.505,2006,5,1
2006-05-10,2006-5-10,21.035,2006,5,10
2006-05-11,2006-5-11,6.735,2006,5,11
2006-05-12,2006-5-12,13.025,2006,5,12
2006-05-13,2006-5-13,20.215,2006,5,13
2006-05-14,2006-5-14,31.155,2006,5,14
2006-05-15,2006-5-15,26.965,2006,5,15
2006-05-16,2006-5-16,4.42,2006,5,16
2006-05-17,2006-5-17,38.9,2006,5,17
2006-05-18,2006-5-18,26.935,2006,5,18
2006-05-19,2006-5-19,25.1,2006,5,19
2006-05-02,2006-5-2,7.605,2006,5,2
2006-05-20,2006-5-20,40.47,2006,5,20
2006-05-21,2006-5-21,26.345,2006,5,21
2006-05-22,2006-5-22,14.47,2006,5,22
2006-05-23,2006-5-23,48,2006,5,23
2006-05-24,2006-5-24,37.94,2006,5,24
2006-05-25,2006-5-25,46.405,2006,5,25
2006-05-26,2006-5-26,5.505,2006,5,26
2006-05-27,2006-5-27,11.85,2006,5,27
2006-05-28,2006-5-28,44.01,2006,5,28
2006-05-29,2006-5-29,32.83,2006,5,29
2006-05-03,2006-5-3,5.205,2006,5,3
2006-05-04,2006-5-4,9.235,2006,5,4
2006-05-05,2006-5-5,19.835,2006,5,5
2006-05-06,2006-5-6,3.935,2006,5,6
2006-05-07,2006-5-7,16.2,2006,5,7
2006-05-08,2006-5-8,4.72,2006,5,8
2006-05-09,2006-5-9,15.935,2006,5,9
2006-07-24,2006-7-24,0,2006,7,24
2006-07-25,2006-7-25,0,2006,7,25
2006-07-26,2006-7-26,4.735,2006,7,26
2006-07-27,2006-7-27,7.435,2006,7,27
2006-07-28,2006-7-28,10.705,2006,7,28
2006-07-29,2006-7-29,21.235,2006,7,29
2006-07-30,2006-7-30,15.9,2006,7,30
2006-07-31,2006-7-31,8.8,2006,7,31
2006-08-01,2006-8-1,7.1,2006,8,1
2006-08-10,2006-8-10,1.77,2006,8,10
2006-08-11,2006-8-11,0.635,2006,8,11
2006-08-12,2006-8-12,3.035,2006,8,12
2006-08-13,2006-8-13,10.7,2006,8,13
2006-08-14,2006-8-14,8.3,2006,8,14
2006-08-15,2006-8-15,4.4,2006,8,15
2006-08-16,2006-8-16,10.37,2006,8,16
2006-08-17,2006-8-17,23.775,2006,8,17
2006-08-18,2006-8-18,4.97,2006,8,18
2006-08-19,2006-8-19,2.37,2006,8,19
2006-08-02,2006-8-2,9.7,2006,8,2
2006-08-20,2006-8-20,13.735,2006,8,20
2006-08-21,2006-8-21,16.85,2006,8,21
2006-08-22,2006-8-22,0.9,2006,8,22
2006-08-23,2006-8-23,1.235,2006,8,23
2006-08-24,2006-8-24,0.7,2006,8,24
2006-08-25,2006-8-25,1.605,2006,8,25
2006-08-26,2006-8-26,1.535,2006,8,26
2006-08-27,2006-8-27,0.8,2006,8,27
2006-08-28,2006-8-28,0.805,2006,8,28
2006-08-29,2006-8-29,1.47,2006,8,29
2006-08-03,2006-8-3,9.14,2006,8,3
2006-08-30,2006-8-30,1.5,2006,8,30
2006-08-31,2006-8-31,0.8,2006,8,31
2006-08-04,2006-8-4,4.87,2006,8,4
2006-08-05,2006-8-5,4.27,2006,8,5
2006-08-06,2006-8-6,3.67,2006,8,6
2006-08-07,2006-8-7,3.4,2006,8,7
2006-08-08,2006-8-8,1.005,2006,8,8
2006-08-09,2006-8-9,0.7,2006,8,9
2006-09-01,2006-9-1,1.4,2006,9,1
2006-09-10,2006-9-10,11.035,2006,9,10
2006-09-11,2006-9-11,3.635,2006,9,11
2006-09-12,2006-9-12,7.105,2006,9,12
2006-09-13,2006-9-13,2.305,2006,9,13
2006-09-14,2006-9-14,2.135,2006,9,14
2006-09-15,2006-9-15,2.77,2006,9,15
2006-09-16,2006-9-16,10.07,2006,9,16
2006-09-17,2006-9-17,7.47,2006,9,17
2006-09-18,2006-9-18,14.2,2006,9,18
2006-09-19,2006-9-19,7.135,2006,9,19
2006-09-02,2006-9-2,0.935,2006,9,2
2006-09-20,2006-9-20,6.805,2006,9,20
2006-09-21,2006-9-21,3.735,2006,9,21
2006-09-22,2006-9-22,11.5,2006,9,22
2006-09-23,2006-9-23,2.94,2006,9,23
2006-09-24,2006-9-24,2.57,2006,9,24
2006-09-25,2006-9-25,11.705,2006,9,25
2006-09-26,2006-9-26,19.735,2006,9,26
2006-09-27,2006-9-27,17.46,2006,9,27
2006-09-28,2006-9-28,11.805,2006,9,28
2006-09-29,2006-9-29,7.535,2006,9,29
2006-09-03,2006-9-3,1.235,2006,9,3
2006-09-30,2006-9-30,4.57,2006,9,30
2006-09-04,2006-9-4,8.7,2006,9,4
2006-09-05,2006-9-5,2.1,2006,9,5
2006-09-06,2006-9-6,2.735,2006,9,6
2006-09-07,2006-9-7,9.87,2006,9,7
2006-09-08,2006-9-8,6.705,2006,9,8
2006-09-09,2006-9-9,8.27,2006,9,9
2007-01-01,2007-1-1,1869.325,2007,1,1
2007-01-10,2007-1-10,77.235,2007,1,10
2007-01-11,2007-1-11,110.17,2007,1,11
2007-01-12,2007-1-12,256.935,2007,1,12
2007-01-13,2007-1-13,314.65,2007,1,13
2007-01-14,2007-1-14,152.32,2007,1,14
2007-01-15,2007-1-15,50.015,2007,1,15
2007-01-16,2007-1-16,96.28,2007,1,16
2007-01-17,2007-1-17,792.245,2007,1,17
2007-01-19,2007-1-19,358.46,2007,1,19
2007-01-02,2007-1-2,1529.31,2007,1,2
2007-01-20,2007-1-20,47.305,2007,1,20
2007-01-21,2007-1-21,31.135,2007,1,21
2007-01-22,2007-1-22,188.505,2007,1,22
2007-01-23,2007-1-23,185.685,2007,1,23
2007-01-24,2007-1-24,35.335,2007,1,24
2007-01-25,2007-1-25,9.67,2007,1,25
2007-01-26,2007-1-26,5.58,2007,1,26
2007-01-27,2007-1-27,15.81,2007,1,27
2007-01-28,2007-1-28,35.435,2007,1,28
2007-01-29,2007-1-29,16.77,2007,1,29
2007-01-03,2007-1-3,626.645,2007,1,3
2007-01-30,2007-1-30,120.305,2007,1,30
2007-01-31,2007-1-31,280.05,2007,1,31
2007-01-04,2007-1-4,244.105,2007,1,4
2007-01-05,2007-1-5,222.5,2007,1,5
2007-01-06,2007-1-6,903.595,2007,1,6
2007-01-07,2007-1-7,256.36,2007,1,7
2007-01-08,2007-1-8,168.36,2007,1,8
2007-01-09,2007-1-9,123.21,2007,1,9
2007-10-01,2007-10-1,36.785,2007,10,1
2007-10-10,2007-10-10,27.935,2007,10,10
2007-10-11,2007-10-11,14.91,2007,10,11
2007-10-12,2007-10-12,11.805,2007,10,12
2007-10-13,2007-10-13,82.88,2007,10,13
2007-10-14,2007-10-14,136.65,2007,10,14
2007-10-15,2007-10-15,116.25,2007,10,15
2007-10-16,2007-10-16,172.085,2007,10,16
2007-10-17,2007-10-17,65.9,2007,10,17
2007-10-18,2007-10-18,55.915,2007,10,18
2007-10-19,2007-10-19,44.41,2007,10,19
2007-10-02,2007-10-2,70.57,2007,10,2
2007-10-20,2007-10-20,34.7,2007,10,20
2007-10-21,2007-10-21,19.015,2007,10,21
2007-10-22,2007-10-22,19.83,2007,10,22
2007-10-23,2007-10-23,24.04,2007,10,23
2007-10-24,2007-10-24,23.355,2007,10,24
2007-10-25,2007-10-25,27,2007,10,25
2007-10-26,2007-10-26,30.805,2007,10,26
2007-10-27,2007-10-27,34.805,2007,10,27
2007-10-28,2007-10-28,21.34,2007,10,28
2007-10-29,2007-10-29,56.035,2007,10,29
2007-10-03,2007-10-3,112.555,2007,10,3
2007-10-30,2007-10-30,53.305,2007,10,30
2007-10-31,2007-10-31,88.68,2007,10,31
2007-10-04,2007-10-4,57.6,2007,10,4
2007-10-05,2007-10-5,22.905,2007,10,5
2007-10-06,2007-10-6,20.505,2007,10,6
2007-10-07,2007-10-7,20.47,2007,10,7
2007-10-08,2007-10-8,10.77,2007,10,8
2007-10-09,2007-10-9,25.215,2007,10,9
2007-11-01,2007-11-1,84.24,2007,11,1
2007-11-10,2007-11-10,95.735,2007,11,10
2007-11-11,2007-11-11,98.07,2007,11,11
2007-11-12,2007-11-12,42.405,2007,11,12
2007-11-13,2007-11-13,64.075,2007,11,13
2007-11-14,2007-11-14,155.175,2007,11,14
2007-11-15,2007-11-15,372.34,2007,11,15
2007-11-16,2007-11-16,195.235,2007,11,16
2007-11-17,2007-11-17,78.905,2007,11,17
2007-11-18,2007-11-18,30.635,2007,11,18
2007-11-19,2007-11-19,27.675,2007,11,19
2007-11-02,2007-11-2,68.675,2007,11,2
2007-11-20,2007-11-20,25.37,2007,11,20
2007-11-21,2007-11-21,47.035,2007,11,21
2007-11-22,2007-11-22,38.87,2007,11,22
2007-11-23,2007-11-23,42.335,2007,11,23
2007-11-24,2007-11-24,93.775,2007,11,24
2007-11-25,2007-11-25,75.7,2007,11,25
2007-11-26,2007-11-26,54.135,2007,11,26
2007-11-27,2007-11-27,84.835,2007,11,27
2007-11-28,2007-11-28,90.56,2007,11,28
2007-11-29,2007-11-29,93.835,2007,11,29
2007-11-03,2007-11-3,36.475,2007,11,3
2007-11-30,2007-11-30,86.705,2007,11,30
2007-11-04,2007-11-4,27.48,2007,11,4
2007-11-05,2007-11-5,42.745,2007,11,5
2007-11-06,2007-11-6,45.705,2007,11,6
2007-11-07,2007-11-7,46.84,2007,11,7
2007-11-08,2007-11-8,80.27,2007,11,8
2007-11-09,2007-11-9,75.84,2007,11,9
2007-12-01,2007-12-1,42.835,2007,12,1
2007-12-10,2007-12-10,50.67,2007,12,10
2007-12-11,2007-12-11,33.135,2007,12,11
2007-12-12,2007-12-12,28.005,2007,12,12
2007-12-13,2007-12-13,28.935,2007,12,13
2007-12-14,2007-12-14,31.44,2007,12,14
2007-12-15,2007-12-15,36.935,2007,12,15
2007-12-16,2007-12-16,42.63,2007,12,16
2007-12-17,2007-12-17,25.87,2007,12,17
2007-12-18,2007-12-18,28.44,2007,12,18
2007-12-19,2007-12-19,29.8,2007,12,19
2007-12-02,2007-12-2,38.57,2007,12,2
2007-12-20,2007-12-20,46.655,2007,12,20
2007-12-21,2007-12-21,227.9,2007,12,21
